"date","count","lang","page","rank","month","title"
2008-01-30,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-16,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-17,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-14,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-15,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-12,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-13,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-10,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-11,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-18,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-19,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-29,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-28,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-27,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-26,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-25,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-24,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-23,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-22,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-21,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-20,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-05,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-04,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-07,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-06,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-01,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-03,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-02,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-09,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-01-08,0,"de","Ausl%C3%A4nder","-1","200801","Ausländer"
2008-02-28,0,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-26,353,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-29,223,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-01,197,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-02,168,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-03,227,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-04,278,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-05,298,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-06,297,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-07,280,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-08,266,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-09,216,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-24,242,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-25,311,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-22,235,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-23,171,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-20,338,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-21,348,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-27,345,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-17,287,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-16,191,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-15,284,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-14,311,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-13,345,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-12,367,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-11,391,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-10,275,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-19,349,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-02-18,387,"de","Ausl%C3%A4nder","-1","200802","Ausländer"
2008-03-14,160,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-15,129,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-16,146,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-17,194,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-10,243,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-11,296,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-12,256,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-13,290,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-18,197,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-19,172,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-31,259,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-30,224,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
