"date","count","lang","page","rank","month","title"
2008-01-30,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-16,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-17,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-14,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-15,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-12,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-13,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-10,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-11,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-18,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-19,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-29,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-28,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-27,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-26,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-25,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-24,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-23,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-22,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-21,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-20,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-05,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-04,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-07,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-06,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-01,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-03,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-02,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-09,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-01-08,0,"de","Einwanderung","-1","200801","Einwanderung"
2008-02-28,0,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-26,544,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-29,370,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-01,277,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-02,272,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-03,314,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-04,396,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-05,465,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-06,496,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-07,506,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-08,419,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-09,306,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-24,559,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-25,618,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-22,370,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-23,335,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-20,588,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-21,560,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-27,553,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-17,596,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-16,267,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-15,323,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-14,518,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-13,696,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-12,665,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-11,690,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-10,474,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-19,610,"de","Einwanderung","-1","200802","Einwanderung"
2008-02-18,585,"de","Einwanderung","-1","200802","Einwanderung"
2008-03-14,274,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-15,178,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-16,278,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-17,314,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-10,535,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-11,461,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-12,482,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-13,489,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-18,324,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-19,292,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-31,395,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-30,366,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-09,395,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-08,228,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-03,0,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-02,555,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-01,0,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-07,244,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-06,541,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-05,509,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-04,0,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-21,199,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-20,247,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-23,210,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-22,211,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-25,331,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-24,310,"de","Einwanderung","-1","200803","Einwanderung"
2008-03-27,396,"de","Einwanderung","-1","200803","Einwanderung"
