"date","count","lang","page","rank","month","title"
2008-01-30,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-16,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-17,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-14,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-15,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-12,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-13,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-10,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-11,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-18,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-19,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-29,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-28,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-27,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-26,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-25,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-24,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-23,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-22,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-21,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-20,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-05,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-04,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-07,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-06,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-01,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-03,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-02,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-09,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-01-08,0,"de","Illegale_Einwanderung","-1","200801","Illegale_Einwanderung"
2008-02-28,0,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-26,6,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-29,3,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-01,1,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-02,6,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-03,0,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-04,21,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-05,7,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-06,4,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-07,27,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-08,1,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-09,9,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-24,2,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-25,1,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-22,4,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-23,7,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-20,1,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-21,6,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-27,7,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-17,0,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-16,3,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-15,1,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-14,3,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-13,5,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-12,4,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-11,3,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-10,4,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-19,8,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-02-18,3,"de","Illegale_Einwanderung","-1","200802","Illegale_Einwanderung"
2008-03-14,2,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-15,9,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-16,2,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-17,7,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-10,27,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-11,9,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-12,3,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-13,3,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-18,1,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-19,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-31,1,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-30,6,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-09,8,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-08,3,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-03,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-02,4,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-01,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-07,4,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-06,3,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-05,3,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-04,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-21,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-20,1,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-23,2,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-22,1,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-25,2,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-24,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-27,1,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-26,4,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-29,2,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-03-28,0,"de","Illegale_Einwanderung","-1","200803","Illegale_Einwanderung"
2008-04-30,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-15,2,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-14,2,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-17,9,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-16,4,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-11,0,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-10,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-13,4,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-12,0,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-19,2,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-18,1,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-28,4,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-29,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-20,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-21,5,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-22,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-23,4,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-24,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-25,6,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-26,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-27,5,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-06,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-07,5,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-04,2,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-05,1,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-02,3,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-03,1,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-01,6,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-08,12,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-04-09,11,"de","Illegale_Einwanderung","-1","200804","Illegale_Einwanderung"
2008-05-31,4,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-12,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-13,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-10,0,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-11,0,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-16,1,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-17,0,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-14,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-15,1,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-18,8,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-19,3,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-29,11,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-28,16,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-23,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-22,4,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-21,15,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-20,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-27,22,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-26,14,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-25,9,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-24,8,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-01,3,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-03,2,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-02,5,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-05,6,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-04,2,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-07,4,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-06,1,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-09,2,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-08,2,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-05-30,4,"de","Illegale_Einwanderung","-1","200805","Illegale_Einwanderung"
2008-06-21,3,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-27,6,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-24,5,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-25,2,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-13,4,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-12,1,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-11,8,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-10,5,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-17,5,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-16,4,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-15,0,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-14,2,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-30,4,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-19,20,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-18,6,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-28,0,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-29,1,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-08,2,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-09,6,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-04,21,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-05,20,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-06,11,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-07,4,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-26,3,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-01,0,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-02,0,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-03,20,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-22,1,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-23,1,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-06-20,13,"de","Illegale_Einwanderung","-1","200806","Illegale_Einwanderung"
2008-07-10,3,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-11,3,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-12,2,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-07,4,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-06,4,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-05,1,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-04,4,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-03,6,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-02,4,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-09,2,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-07-08,4,"de","Illegale_Einwanderung","-1","200807","Illegale_Einwanderung"
2008-08-04,2,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-31,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-23,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-11,2,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-10,0,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-13,8,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-12,5,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-15,0,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-14,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-17,3,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-16,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-19,5,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-18,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-30,2,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-02,2,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-03,6,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-26,6,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-01,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-06,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-21,3,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-22,3,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-05,4,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-08,6,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-09,8,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-28,3,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-29,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-24,1,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-25,6,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-27,3,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-20,2,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-08-07,6,"de","Illegale_Einwanderung","-1","200808","Illegale_Einwanderung"
2008-09-23,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-02,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-27,0,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-26,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-25,11,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-24,3,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-09,3,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-22,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-21,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-20,6,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-05,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-04,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-07,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-06,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-01,5,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-03,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-08,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-28,1,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-30,7,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-29,1,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-18,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-19,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-16,6,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-17,4,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-14,3,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-15,3,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-12,6,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-13,2,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-10,6,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-09-11,1,"de","Illegale_Einwanderung","-1","200809","Illegale_Einwanderung"
2008-10-09,10,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-08,11,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-03,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-02,1,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-01,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-07,6,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-06,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-05,3,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-04,2,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-21,0,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-20,5,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-23,5,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-22,0,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-25,2,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-24,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-27,1,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-26,2,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-29,11,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-28,5,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-30,5,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-31,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-14,2,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-15,3,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-16,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-17,0,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-10,4,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-11,3,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-12,5,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-13,7,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-18,1,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-10-19,6,"de","Illegale_Einwanderung","-1","200810","Illegale_Einwanderung"
2008-11-28,7,"de","Illegale_Einwanderung","-1","200811","Illegale_Einwanderung"
2008-11-29,2,"de","Illegale_Einwanderung","-1","200811","Illegale_Einwanderung"
